team,home_away,minute,confidence,player_in_name,player_in_id,player_in_number,player_out_name,player_out_id,player_out_number
Colo-Colo,home,0,low,Claudio Aquino,1645d166,10,Unknown,,
Colo-Colo,home,0,low,Javier Marcelo Correa,04bdcce2,9,Unknown,,
Colo-Colo,home,0,low,Lucas Cepeda,33d87e32,32,Unknown,,
Colo-Colo,home,9,low,Vicente Pizarro,dba1f4ca,34,Unknown,,
Colo-Colo,home,81,low,Francisco Marchant,32c4d249,7,Unknown,,
Colo-Colo,home,0,low,Esteban Pavez,bff05389,8,Unknown,,
Colo-Colo,home,26,low,Arturo Vidal,67cdbc0e,23,Unknown,,
Colo-Colo,home,64,low,Víctor Méndez,963706d2,5,Unknown,,
Colo-Colo,home,1,low,Érick Wiemberg,dc224436,21,Unknown,,
Colo-Colo,home,89,low,Daniel Gutiérrez,f94fee58,3,Unknown,,
Colo-Colo,home,1,low,Sebastián Vegas,4ef92b90,6,Unknown,,
Colo-Colo,home,89,low,Emiliano Amor,3fc6c051,15,Unknown,,
Colo-Colo,home,0,low,Alan Saldivia,b084cda6,4,Unknown,,
Colo-Colo,home,0,low,Mauricio Isla,de4517dd,22,Unknown,,
Colo-Colo,home,0,low,Brayan Cortés,51079959,1,Unknown,,
O'Higgins,away,19,low,Arnaldo Castillo,a423f339,9,Unknown,,
O'Higgins,away,71,low,Leandro Benegas,38610318,19,Unknown,,
O'Higgins,away,28,low,Rodrigo Godoy,31987733,26,Unknown,,
O'Higgins,away,62,low,Yorman Zapata,2d6a53ad,15,Unknown,,
O'Higgins,away,19,low,Bryan Rabello,ad052490,10,Unknown,,
O'Higgins,away,71,low,Martín Sarrafiore,55f096b1,7,Unknown,,
O'Higgins,away,13,low,Joaquín Montecinos,9ec27e7f,8,Unknown,,
O'Higgins,away,77,low,Cristian Morales,52a253d3,2,Unknown,,
O'Higgins,away,0,low,Matías Lugo,76c44dcd,32,Unknown,,
O'Higgins,away,0,low,Juan Leiva,a246f365,11,Unknown,,
O'Higgins,away,0,low,Luis Pavez Muñoz,0ca56107,6,Unknown,,
O'Higgins,away,0,low,Juan Ignacio Díaz,baa6308e,14,Unknown,,
O'Higgins,away,0,low,Alan Robledo,9ad1a13c,22,Unknown,,
O'Higgins,away,0,low,Moisés González,765fc2c7,17,Unknown,,
O'Higgins,away,0,low,Omar Carabalí,ddae1696,31,Unknown,,
