team,team_id,home_away,player_in,player_in_id,player_out,player_out_id,minute,type
Colo-Colo,,home,Claudio Aquino,1645d166,Unknown,,0,substitution_in_only
Colo-Colo,,home,Javier Marcelo Correa,04bdcce2,Unknown,,0,substitution_in_only
Colo-Colo,,home,Lucas Cepeda,33d87e32,Unknown,,0,substitution_in_only
Colo-Colo,,home,Esteban Pavez,bff05389,Unknown,,0,substitution_in_only
Colo-Colo,,home,Alan Saldivia,b084cda6,Unknown,,0,substitution_in_only
Colo-Colo,,home,Mauricio Isla,de4517dd,Unknown,,0,substitution_in_only
Colo-Colo,,home,Brayan Cortés,51079959,Unknown,,0,substitution_in_only
Colo-Colo,,home,Érick Wiemberg,dc224436,Unknown,,1,substitution_in_only
Colo-Colo,,home,Sebastián Vegas,4ef92b90,Unknown,,1,substitution_in_only
Colo-Colo,,home,Vicente Pizarro,dba1f4ca,Unknown,,9,substitution_in_only
Colo-Colo,,home,Arturo Vidal,67cdbc0e,Unknown,,26,substitution_in_only
Colo-Colo,,home,Víctor Méndez,963706d2,Unknown,,64,substitution_in_only
Colo-Colo,,home,Francisco Marchant,32c4d249,Unknown,,81,substitution_in_only
Colo-Colo,,home,Daniel Gutiérrez,f94fee58,Unknown,,89,substitution_in_only
Colo-Colo,,home,Emiliano Amor,3fc6c051,Unknown,,89,substitution_in_only
O'Higgins,,away,Matías Lugo,76c44dcd,Unknown,,0,substitution_in_only
O'Higgins,,away,Juan Leiva,a246f365,Unknown,,0,substitution_in_only
O'Higgins,,away,Luis Pavez Muñoz,0ca56107,Unknown,,0,substitution_in_only
O'Higgins,,away,Juan Ignacio Díaz,baa6308e,Unknown,,0,substitution_in_only
O'Higgins,,away,Alan Robledo,9ad1a13c,Unknown,,0,substitution_in_only
O'Higgins,,away,Moisés González,765fc2c7,Unknown,,0,substitution_in_only
O'Higgins,,away,Omar Carabalí,ddae1696,Unknown,,0,substitution_in_only
O'Higgins,,away,Joaquín Montecinos,9ec27e7f,Unknown,,13,substitution_in_only
O'Higgins,,away,Arnaldo Castillo,a423f339,Unknown,,19,substitution_in_only
O'Higgins,,away,Bryan Rabello,ad052490,Unknown,,19,substitution_in_only
O'Higgins,,away,Rodrigo Godoy,31987733,Unknown,,28,substitution_in_only
O'Higgins,,away,Yorman Zapata,2d6a53ad,Unknown,,62,substitution_in_only
O'Higgins,,away,Leandro Benegas,38610318,Unknown,,71,substitution_in_only
O'Higgins,,away,Martín Sarrafiore,55f096b1,Unknown,,71,substitution_in_only
O'Higgins,,away,Cristian Morales,52a253d3,Unknown,,77,substitution_in_only
