team,home_away,player_id,player_name,player_country,player_number,age,summary_positions,summary_min,summary_gls,summary_sh,summary_sot,summary_ast,summary_tkl_won,summary_int,summary_og,summary_fls_com,summary_fls_drawn,summary_yellow_cards,summary_red_cards,summary_offside,summary_pk_won,summary_pk_made,summary_pk_att
Colo-Colo,home,1645d166,Claudio Aquino,ARG,10,33,FW,90,0,0,0,0,2,0,0,1,2,1,0,0,,0,0
Colo-Colo,home,04bdcce2,Javier Marcelo Correa,ARG,9,32,FW,90,0,5,2,0,0,0,0,0,1,0,0,2,,0,0
Colo-Colo,home,33d87e32,Lucas Cepeda,CHI,32,22,FW,90,0,2,1,0,0,1,0,0,1,0,0,0,,0,0
Colo-Colo,home,dba1f4ca,Vicente Pizarro,CHI,34,22,CM,81,0,2,1,0,1,0,0,0,2,0,0,0,,0,0
Colo-Colo,home,32c4d249,Francisco Marchant,CHI,7,18,MF,9,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Colo-Colo,home,bff05389,Esteban Pavez,CHI,8,34,CM,90,0,4,1,0,4,1,0,0,1,0,0,0,,0,0
Colo-Colo,home,67cdbc0e,Arturo Vidal,CHI,23,37,CM,64,0,2,0,0,1,0,0,2,1,1,0,0,,0,0
Colo-Colo,home,963706d2,Víctor Méndez,CHI,5,25,MF,26,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Colo-Colo,home,dc224436,Érick Wiemberg,CHI,21,30,LB,89,0,1,0,0,2,1,0,2,0,0,0,0,,0,0
Colo-Colo,home,f94fee58,Daniel Gutiérrez,CHI,3,22,DF,1,0,0,0,0,0,1,0,1,1,0,0,0,,0,0
Colo-Colo,home,4ef92b90,Sebastián Vegas,CHI,6,28,CB,89,0,0,0,0,1,2,0,0,2,0,0,0,,0,0
Colo-Colo,home,3fc6c051,Emiliano Amor,SYR,15,29,DF,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
Colo-Colo,home,b084cda6,Alan Saldivia,URU,4,22,CB,90,0,1,0,0,1,2,0,0,0,1,0,0,,0,0
Colo-Colo,home,de4517dd,Mauricio Isla,CHI,22,36,RB,90,0,1,0,0,2,2,0,0,0,0,0,0,,0,0
Colo-Colo,home,51079959,Brayan Cortés,CHI,1,29,GK,90,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
O'Higgins,away,a423f339,Arnaldo Castillo,PAR,9,27,FW,71,0,2,0,0,0,1,0,1,1,0,0,0,,0,0
O'Higgins,away,38610318,Leandro Benegas,CHI,19,36,FW,19,0,1,0,0,0,0,0,2,0,0,0,0,,0,0
O'Higgins,away,31987733,Rodrigo Godoy,CHI,26,19,AM,62,0,1,0,0,0,1,0,0,0,0,0,1,,0,0
O'Higgins,away,2d6a53ad,Yorman Zapata,COL,15,24,FW,28,0,0,0,1,1,0,0,1,0,0,0,0,,0,0
O'Higgins,away,ad052490,Bryan Rabello,CHI,10,30,AM,71,1,4,2,0,0,1,0,1,0,1,0,1,,0,0
O'Higgins,away,55f096b1,Martín Sarrafiore,ARG,7,27,MF,19,0,0,0,0,1,0,0,1,0,0,0,0,,0,0
O'Higgins,away,9ec27e7f,Joaquín Montecinos,CHI,8,29,AM,77,0,2,1,0,1,0,0,0,0,0,0,2,,0,0
O'Higgins,away,52a253d3,Cristian Morales,CHI,2,18,DF,13,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
O'Higgins,away,76c44dcd,Matías Lugo,ARG,32,23,DM,90,0,1,0,0,2,3,0,0,0,0,0,0,,0,0
O'Higgins,away,a246f365,Juan Leiva,CHI,11,31,DM,90,0,2,0,0,3,3,0,2,2,1,0,0,,0,0
O'Higgins,away,0ca56107,Luis Pavez Muñoz,CHI,6,29,LB,90,0,0,0,0,4,0,0,1,0,0,0,0,,0,0
O'Higgins,away,baa6308e,Juan Ignacio Díaz,ARG,14,26,CB,90,0,0,0,0,0,1,0,2,0,0,0,0,,0,0
O'Higgins,away,9ad1a13c,Alan Robledo,ARG,22,27,CB,90,0,1,0,0,1,0,0,1,1,0,0,0,,0,0
O'Higgins,away,765fc2c7,Moisés González,CHI,17,24,RB,90,0,0,0,0,1,0,0,0,1,0,0,0,,0,0
O'Higgins,away,ddae1696,Omar Carabalí,CHI,31,27,GK,90,0,0,0,0,0,0,0,0,1,0,0,0,,0,0
